"queenbee","queenbee_parent","drone_parent","apiary","born","blup_46","method_46","blup_139","method_139","blup_44","method_44","blup_47","method_47","blup_274","method_274","blup_228","method_228","blup_45","method_45"
"3262","0","0",NA,"2020",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"5064","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"7531","3262","0",NA,"2023",0.120709157119978,"BLUP",NA,"BLUP",-0.020064406633016,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",-0.12342423088091,"BLUP"
"7536","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"7537","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"7538","3262","0",4948,"2023",-0.124842390151933,"BLUP",NA,"BLUP",0.00280887651780272,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",-0.0224699964948607,"BLUP"
"9586","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"9587","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"9588","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"9589","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"9590","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"9591","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"10169","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"10170","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"11743","10170","0",1212,"2023",0.106018315610856,"BLUP",0.212516132559247,"BLUP",0.0511923692619034,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",0.0271779390420755,"BLUP"
"10772","3262","0",1212,"2023",0.0290856130264066,"BLUP",0.0125161325592602,"BLUP",-0.016985185283781,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",0.0595362636653044,"BLUP"
"11564","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",NA,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",NA,"BLUP"
"11899","3262","0",NA,"2023",NA,"BLUP",NA,"BLUP",0.00280887646299228,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",0.189463187312038,"BLUP"
"18177","11899","0",1213,"2024",-0.130970695605564,"BLUP",-0.187483867440743,"BLUP",-0.0197605303259076,"BLUP",NA,"Pas assez de données",NA,"Pas assez de données",NA,"Pas assez de données",-0.130283162643643,"BLUP"
